tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,dist,bound,df,nc,T,N_data_H_B,N_params_H_B,log_L_H_B,AIC_H_B,BIC_H_B,opt_start,opt_end,opt_delta
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,False,bi,mark,norm,both,,,10092,9838,0,32802.42754054086,-65604.85508108173,-65604.85508108173,2023-09-23 23:24:13.565826+00:00,2023-09-23 23:24:13.565826+00:00,0 days 00:00:00
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,False,bi,mark,t,both,9.060479519164952,,10092,9838,1,33035.86009261893,-66069.72018523786,-66062.52617752051,2023-09-23 23:24:39.835361+00:00,2023-09-23 23:24:40.985347+00:00,0 days 00:00:01.150027500
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,False,bi,unmark,norm,both,,,10092,9838,0,32800.05744778489,-65600.11489556979,-65600.11489556979,2023-09-23 23:25:14.670243+00:00,2023-09-23 23:25:14.670243+00:00,0 days 00:00:00
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,False,bi,unmark,t,both,9.240736162322618,,10092,9838,1,33027.77759761518,-66053.55519523036,-66046.36118751302,2023-09-23 23:25:37.827608+00:00,2023-09-23 23:25:38.851486+00:00,0 days 00:00:01.023708499
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,False,bi_d,mark,norm,both,,,10092,9838,0,32688.397828685676,-65376.79565737135,-65376.79565737135,2023-09-23 23:26:12.028947+00:00,2023-09-23 23:26:12.028947+00:00,0 days 00:00:00
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,False,bi_d,mark,norm,left,,,10092,9838,1,32750.843793189564,-65499.68758637913,-65492.49357866177,2023-09-23 23:26:34.634838+00:00,2023-09-23 23:26:34.634838+00:00,0 days 00:00:00
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,False,bi_d,mark,norm,right,,,10092,9838,0,32718.92202309683,-65437.84404619366,-65437.84404619366,2023-09-23 23:26:46.286333+00:00,2023-09-23 23:26:46.286333+00:00,0 days 00:00:00
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,False,bi_d,mark,t,both,8.34738824006236,,10092,9838,1,32931.43403543104,-65860.86807086208,-65853.67406314473,2023-09-23 23:26:58.306645+00:00,2023-09-23 23:26:59.846966+00:00,0 days 00:00:01.540181899
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,False,bi_d,mark,t,left,6.782876886173761,,10092,9838,0,33090.818166458004,-66181.63633291601,-66181.63633291601,2023-09-23 23:27:32.013559+00:00,2023-09-23 23:27:32.945859+00:00,0 days 00:00:00.931991899
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,False,bi_d,mark,t,right,6.515346494405181,,10092,9838,1,33076.4016427661,-66150.8032855322,-66143.60927781484,2023-09-23 23:27:51.730973+00:00,2023-09-23 23:27:52.694800+00:00,0 days 00:00:00.963566300
