tick,exchange,train_start,train_end,opt_method,vol,p,o,q,dist,a_u,xi_y_1,xi_y_2,u_y_1,u_y_2,sigma_y_1,sigma_y_2
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.175,0.0451051477865837,-0.0808598520054709,-0.9925445480559236,0.9925445480559228,0.7358471380766989,0.7361627179980437
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.175,0.0587233117385797,-0.0856815949549469,-0.9345892910734802,0.93458929107348,0.5815804717511274,0.6163588441956768
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.175,0.041603356480425,-0.0811463861972369,-0.9925445480559236,0.992544548055923,0.7187057852178081,0.72456573003317
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.1875,0.0507791431211744,-0.07895385796006,-0.887146559018876,0.887146559018876,0.6032305386081219,0.6107125864056046
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.1875,0.043525803608008,-0.0836189711442714,-0.9394386301863462,0.9394386301863462,0.7367071654290211,0.7455969369380022
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.1875,0.0474509508183464,-0.081492612762985,-0.887146559018876,0.887146559018876,0.5964568852339049,0.6141865748716334
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.1875,0.0323705401772405,-0.0905314823517464,-0.939438630186346,0.939438630186346,0.7357310660827052,0.7452377885107637
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.2,0.0387372469353561,-0.0808325460012529,-0.8416212335729142,0.8416212335729143,0.6216880996753749,0.6171290402473345
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.2,0.0375183944120213,-0.0890619437751527,-0.8888895177669741,0.8888895177669746,0.7474030341115008,0.7600446102791757
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.2,0.0417902771379117,-0.0839890084894263,-0.8416212335729142,0.8416212335729144,0.6037889856537733,0.62142571084681
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.2,0.0293811309836738,-0.0954833278751465,-0.888889517766974,0.8888895177669746,0.7404687299589319,0.7590048480644127
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.2125,0.0395819322445773,-0.0858123771737158,-0.7977768461252381,0.7977768461252381,0.6187169420368446,0.6282955250939863
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.2125,0.0282969002129679,-0.0906814975909455,-0.8405648446930499,0.8405648446930498,0.7663184329986721,0.7675520098110312
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.2125,0.0321313634185258,-0.0923019034893198,-0.7977768461252381,0.7977768461252381,0.6182872988603323,0.6373105083835406
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.2125,0.0224188857700247,-0.097213364791348,-0.8405648446930499,0.8405648446930498,0.7542952697224163,0.7667790857002118
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.225,0.0352107059645439,-0.0909131769128143,-0.7554150263604693,0.7554150263604693,0.6246059221062131,0.6398992547858098
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.225,0.0225955272245756,-0.0920632870905373,-0.7941884700484426,0.7941884700484428,0.7787089717540561,0.7744812947580832
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.225,0.0234347868272112,-0.0938443253166746,-0.7554150263604693,0.7554150263604693,0.6327740420713008,0.6435949412721181
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.225,0.0184096642745044,-0.0978280934536586,-0.7941884700484426,0.7941884700484428,0.7623918909419043,0.7724188554608276
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.2375,0.0277050318460678,-0.0907949859864662,-0.7143674402801876,0.7143674402801873,0.6367509360450128,0.6435462023506225
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.2375,0.019631838774636,-0.094251615573122,-0.7495281896256518,0.7495281896256517,0.7849087124523944,0.7828460533878477
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.2375,0.023446771442436,-0.0961948264980303,-0.7143674402801876,0.7143674402801872,0.6316648744280178,0.6510098053002171
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.2375,0.0113142249678431,-0.10732175354382,-0.7495281896256518,0.7495281896256517,0.7781540637579138,0.7954420182278331
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.25,0.0178259256645803,-0.0893212460365374,-0.6744897501960817,0.6744897501960817,0.6549475470334475,0.6448333401509645
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.25,0.016958597891424,-0.097412608726032,-0.7063866126448144,0.7063866126448144,0.7908596334149469,0.7932361384814044
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.25,0.016749845090801,-0.1014508680911257,-0.6744897501960817,0.6744897501960817,0.643274591213189,0.663229530760383
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.25,0.0083738303175698,-0.1058274049121754,-0.7063866126448144,0.7063866126448144,0.7847961239781586,0.7969885795102218
